object_id_num,object_huldrsadmin_ownerSuppliedName_string,object_urn_string_sort,object_huldrsadmin_adminCategory_text_sort,object_huldrsadmin_ownerCode_string_sort,object_huldrsadmin_billingCode_string,object_mets_type_string,object_huldrsadmin_insertionDate_date,object_huldrsadmin_role_string_sort,object_mets_createDate_date,batch_huldrsadmin_batchDirectoryName_string,batch_id_num,batch_huldrsadmin_loadStartTime_date,batch_huldrsadmin_batchName_string,object_fileCount_num,object_huldrsadmin_adminFlagType_string_sort,object_huldrsadmin_accessFlag_string,object_mods_title_text_sort,object_huldrsadmin_producer_string_sort,object_objectSize_num
446377143,W1FPL558-I1FPL558,"urn-3:FHCL:37148650, urn-3:HUL.DRS.OBJECT:37148649",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-06-23T23:25:06.223Z,,2018-06-22T21:29:49.344Z,batchW1FPL558-1n,489718,2018-06-23T23:25:06.0Z,FHCL.COLL_batchW1FPL558-1n_20180622_173054,218,,R,aṅguttui pāḷi-tō,Tibetan Buddhist Resource Center,70169662
446377363,W1FPL428-I1FPL428,"urn-3:FHCL:37148652, urn-3:HUL.DRS.OBJECT:37148651",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-06-23T23:26:09.774Z,,2018-06-22T21:24:46.362Z,batchW1FPL428-1n,489719,2018-06-23T23:26:10.0Z,FHCL.COLL_batchW1FPL428-1n_20180622_172521,99,,R,abhidhān nissya,Tibetan Buddhist Resource Center,27510047
446377464,W1FPL653-I1FPL653,"urn-3:FHCL:37148658, urn-3:HUL.DRS.OBJECT:37148657",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-06-23T23:26:12.652Z,,2018-06-22T20:44:50.184Z,batchW1FPL653-1n,489722,2018-06-23T23:26:12.0Z,FHCL.COLL_batchW1FPL653-1n_20180622_164609,244,,R,sagāthāvaggasaṃyut pāḷi-tō--nidānavaggasaṃyut pāḷi-tō--khandhavaggasaṃyut pāḷi-tō,Tibetan Buddhist Resource Center,71004653
446377514,W1FPL306-I1FPL306,"urn-3:FHCL:37148654, urn-3:HUL.DRS.OBJECT:37148653",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-06-23T23:26:10.707Z,,2018-06-22T20:46:50.197Z,batchW1FPL306-1n,489720,2018-06-23T23:26:10.0Z,FHCL.COLL_batchW1FPL306-1n_20180622_164734,137,,R,aṭhanipāt aṅguttuir* to ekadasa-,Tibetan Buddhist Resource Center,43551914
446377849,W1FPL559-I1FPL559,"urn-3:FHCL:37148656, urn-3:HUL.DRS.OBJECT:37148655",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-06-23T23:26:12.77Z,,2018-06-22T21:32:02.401Z,batchW1FPL559-1n,489721,2018-06-23T23:26:12.0Z,FHCL.COLL_batchW1FPL559-1n_20180622_173311,216,,R,unidentified,Tibetan Buddhist Resource Center,57981099
446378067,W1FPL654-I1FPL654,"urn-3:FHCL:37148660, urn-3:HUL.DRS.OBJECT:37148659",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-06-23T23:26:21.510Z,,2018-06-22T20:46:49.353Z,batchW1FPL654-1n,489723,2018-06-23T23:26:21.0Z,FHCL.COLL_batchW1FPL654-1n_20180622_164712,59,,R,suttaṃ*,Tibetan Buddhist Resource Center,16295103
446378128,W1FPL4284-I1FPL4284,"urn-3:FHCL:37148662, urn-3:HUL.DRS.OBJECT:37148661",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-06-23T23:27:03.116Z,,2018-06-22T21:26:11.692Z,batchW1FPL4284-1n,489724,2018-06-23T23:27:03.0Z,FHCL.COLL_batchW1FPL4284-1n_20180622_172646,133,,R,vimānavatthu pāḷi-tō--petavatthu pāḷi-tō--therā pāḷi-tō--therī pāḷi-tō--buddhavaṅ pāḷi-tō--cariyāpiṭaka pāḷi-tō,Tibetan Buddhist Resource Center,42081074
446378263,W1FPL3075-I1FPL3075,"urn-3:FHCL:37148664, urn-3:HUL.DRS.OBJECT:37148663",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-06-23T23:28:09.399Z,,2018-06-22T20:50:40.24Z,batchW1FPL3075-1n,489725,2018-06-23T23:28:09.0Z,FHCL.COLL_batchW1FPL3075-1n_20180622_165100,82,,R,ṭīkā-krō pāṭh--bhikkhūnīvibhaṅga,Tibetan Buddhist Resource Center,22900804
446378347,W1FPL307-I1FPL307,"urn-3:FHCL:37148666, urn-3:HUL.DRS.OBJECT:37148665",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-06-23T23:28:11.710Z,,2018-06-22T20:48:54.683Z,batchW1FPL307-1n,489726,2018-06-23T23:28:11.0Z,FHCL.COLL_batchW1FPL307-1n_20180622_165002,202,,R,anuṭīkā pāṭh,Tibetan Buddhist Resource Center,66357966
446378863,W1FPL56-I1FPL56,"urn-3:FHCL:37148668, urn-3:HUL.DRS.OBJECT:37148667",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-06-23T23:29:07.955Z,,2018-06-22T21:34:19.446Z,batchW1FPL56-1n,489727,2018-06-23T23:29:08.0Z,FHCL.COLL_batchW1FPL56-1n_20180622_173524,274,,R,dhātumālā pāṭh--dhātumālā nissya,Tibetan Buddhist Resource Center,89082000
