rid,hollis
W1KG9409,14257585
W1KG9560,14257590
W1KG9580,14257594
W1KG9588,14257595
W1KG9593,14257596
W1KG9609,14257604
W1KG9724,14257614
W1KG9748,14257619
W1KG9800,14257632
W1KG9848,14257641
W1KG9858,14257644
W1KG9862,14257645
W1KG987,14257646
W1KG988,14257647
W1PD100944,14257655
W1PD104832,14257657
W1PD107129,14257707
W1PD107142,14257708
W1PD107937,14257710
W1PD108254,14257712
W1PD127348,14257713
W1PD127393,14257714
W1PD127771,14257715
W1PD166109,14257728
W1PD1725,14257729
W1PD179846,14257732
W1PD180878,14257733
W1PD181149,14257741
W1PD181150,14257742
W1PD181151,14257743
W1PD181152,14257744
W1PD181153,14257745
W1PD181154,14257746
W1PD181155,14257747
W1PD181156,14257748
W1PD181157,14257749
W1PD181158,14257750
W1PD181159,14257751
W1PD181165,14257752
W1PD181166,14257753
W1PD2,14257791
W1PD2074,14257792
W1PD26799,14257793
W1PD289,14257794
W1PD3,14257795
W1PD36435,14257796
W1PD4,14257797
W1PD44712,14257799
W1PD45088,14257800
W1PD45090,14257801
W1PD45150,14257808
W1PD45495,14257814
W1PD45496,14257815
W1PD5,14257816
W1PD5282,14257818
W1PD5283,14257819
W1PD5284,14257820
W1PD5297,14257821
W1PD5298,14257822
W1PD5299,14257823
W1PD5300,14257824
W1PD5302,14257825
W1PD5314,14257826
W1PD53260,14257831
W1PD53265,14257833
W1PD53272,14257837
W1PD53276,14257841
W1PD6,14257848
W1PD76231,14257849
W1PD76588,14257851
W1PD76592,14257852
W1PD76619,14257853
W1PD76620,14257854
W1PD77570,14257856
W1PD8,14257857
W1PD82085,14257858
W1PD82465,14257859
W1PD83960,14257860
W1PD83963,14257861
W1PD83964,14257862
W1PD83972,14257864
W1PD83973,14257865
W1PD83974,14257866
W1PD83975,14257867
W1PD83977,14257869
W1PD83981,14257870
W1PD86468,14257872
W1PD86474,14257873
W1PD87837,14257874
W1PD88780,14257878
W1PD89051,14257898
W1PD89084,14257899
W1PD89990,14257903
W1PD9,14257908
W1PD90129,14257947
W1PD90230,14257949
W1PD90704,14257951
W1PD94,14257955
W1PD95675,14257956
