rid,hollis
W30016,14260569
W30017,14260570
W30018,14260571
W30019,14260572
W30020,14260573
W30021,14260574
W30022,14260575
W30023,14260576
W30038,14260582
W30060,14260591
W30066,14260593
W30067,14260594
W30068,14260595
W30072,14260599
W30073,14260600
W30074,14260601
W30083,14260604
W30084,14260605
W30085,14260606
W30086,14260607
W30098,14260613
W30101,14260616
W30105,14260620
W30112,14260625
W30116,14260629
W30123,14260635
W30124,14260636
W30125,14260637
W30129,14260640
W30134,14260643
W30137,14260646
W30138,14260647
W30145,14260654
W30150,14260659
W30151,14260660
W30152,14260661
W30153,14260662
W30157,14260666
W30161,14260669
W30176,14260682
W30178,14260684
W30185,14260691
W30199,14260697
W30261,14260698
W30267,14260702
W30279,14260705
W30280,14260706
W30287,14260713
W30291,14260717
W30292,14260718
W30303,14260723
W30304,14260724
W30305,14260725
W30306,14260726
W30307,14260727
W30322,14260731
W30335,14260736
W30347,14260746
W30387,14260756
W30388,14260757
W30407,14260771
W30420,14260775
W30428,14260778
W30432,14260781
W30435,14260784
W30436,14260785
W30438,14260787
W30442,14260791
W30443,14260792
W30446,14260793
W30450,14260796
W30453,14260799
W30456,14260802
W30460,14260803
W30465,14260807
W30466,14260808
W30467,14260809
W30514,14260828
W30515,14260829
W30516,14260830
W30533,14260838
W30534,14260839
W30536,14260841
W30537,14260842
W30538,14260843
W30540,14260845
W30541,14260846
W3572,14260850
W3834,14260853
W384,14260855
W3888,14260856
W3916,14260859
W3CN12210,NULL
W3CN13006,NULL
W447,14260863
W4615,14260866
W486,14260871
W4CZ1019,14260877
W4CZ1042,14260887
W4CZ1100,14260896
W4CZ1101,14260897
W4CZ1102,14260898
W4CZ1103,14260899
W4CZ1106,14260902
W4CZ15391,14260915
W4CZ1721,14260926
W4CZ2193,14260939
W4CZ2710,14260943
W4CZ2732,14260944
W4CZ30835,14260947
W4CZ30842,14260948
W4CZ5369,14260959
W5062,14260969
W5424,14260973
W5488,14260974
W5832,14260977
W5926,14260980
W6113,14260998
W6205,14260999
W635,14261001
W6457,14261004
W6475,14261016
W6493,14261020
W665,14261021
W669,14261022
W676,14261023
W6799,14261025
W7335,14261032
W7477,14261038
W7479,14261039
W7494,14261042
W7516,14261046
W7532,14261047
W759,14261051
W7732,14261054
W7797,14261058
W7956,14261059
W7972,14261060
W8027,14261061
W8039,14261062
W8222,14261067
W8224,14261069
W8455,14261082
W861,14261094
W8610,14261095
W8683,14261100
W8684,14261101
W87,14261102
W8751,14261106
W8773,14261107
W8870,14261112
W9086,14261119
W9140,14261123
W9201,14261125
W9209,14261126
W929,14261129
W933,14261131
W9366,14261132
W9558,14261136
W9683,14261140
W9848,14261145
W9888,14261147
