" ""s"" "," ""id"" "
" ""http://purl.bdrc.io/resource/W1PD6"" "," ""014257848"" "
" ""http://purl.bdrc.io/resource/W1KG4257"" "," ""014256871"" "
" ""http://purl.bdrc.io/resource/W87"" "," ""014261102"" "
" ""http://purl.bdrc.io/resource/W20304"" "," ""014258108"" "
" ""http://purl.bdrc.io/resource/W1KG4211"" "," ""014256831"" "
" ""http://purl.bdrc.io/resource/W00KG02331"" "," ""014254152"" "
" ""http://purl.bdrc.io/resource/W29091"" "," ""014259898"" "
" ""http://purl.bdrc.io/resource/W21727"" "," ""014258409"" "
" ""http://purl.bdrc.io/resource/W1PD181153"" "," ""014257745"" "
" ""http://purl.bdrc.io/resource/W1KG10241"" "," ""014255604"" "
" ""http://purl.bdrc.io/resource/W30020"" "," ""014260573"" "
" ""http://purl.bdrc.io/resource/W29032"" "," ""014259886"" "
" ""http://purl.bdrc.io/resource/W27514"" "," ""014259675"" "
" ""http://purl.bdrc.io/resource/W23819"" "," ""014259153"" "
" ""http://purl.bdrc.io/resource/W27319"" "," ""014259615"" "
" ""http://purl.bdrc.io/resource/W23156"" "," ""014258798"" "
" ""http://purl.bdrc.io/resource/W28867"" "," ""014259814"" "
" ""http://purl.bdrc.io/resource/W2DB4619"" "," ""014260537"" "
" ""http://purl.bdrc.io/resource/W9888"" "," ""014261147"" "
" ""http://purl.bdrc.io/resource/W9209"" "," ""014261126"" "
" ""http://purl.bdrc.io/resource/W2DB5087"" "," ""014260548"" "
" ""http://purl.bdrc.io/resource/W29018"" "," ""014259883"" "
" ""http://purl.bdrc.io/resource/W00KG09730"" "," ""014254550"" "
" ""http://purl.bdrc.io/resource/W23880"" "," ""014259197"" "
" ""http://purl.bdrc.io/resource/W20023"" "," ""014258005"" "
" ""http://purl.bdrc.io/resource/W00EGS1017063"" "," ""014253955"" "
" ""http://purl.bdrc.io/resource/W29496"" "," ""014260011"" "
" ""http://purl.bdrc.io/resource/W1KG4949"" "," ""014257047"" "
" ""http://purl.bdrc.io/resource/W21661"" "," ""014258380"" "
" ""http://purl.bdrc.io/resource/W1KG4948"" "," ""014257046"" "
" ""http://purl.bdrc.io/resource/W23778"" "," ""014259119"" "
" ""http://purl.bdrc.io/resource/W1CZ2413"" "," ""014255345"" "
" ""http://purl.bdrc.io/resource/W4CZ2193"" "," ""014260939"" "
" ""http://purl.bdrc.io/resource/W1KG5900"" "," ""014257226"" "
" ""http://purl.bdrc.io/resource/W23867"" "," ""014259189"" "
" ""http://purl.bdrc.io/resource/W24829"" "," ""014259362"" "
" ""http://purl.bdrc.io/resource/W20448"" "," ""014258158"" "
" ""http://purl.bdrc.io/resource/W22098"" "," ""014258621"" "
" ""http://purl.bdrc.io/resource/W1PD181159"" "," ""014257751"" "
" ""http://purl.bdrc.io/resource/W22185"" "," ""014258687"" "
" ""http://purl.bdrc.io/resource/W1PD181157"" "," ""014257749"" "
" ""http://purl.bdrc.io/resource/W29899"" "," ""014260108"" "
" ""http://purl.bdrc.io/resource/W29984"" "," ""014260125"" "
" ""http://purl.bdrc.io/resource/W25102"" "," ""014259393"" "
" ""http://purl.bdrc.io/resource/W19223"" "," ""014254833"" "
" ""http://purl.bdrc.io/resource/W23188"" "," ""014258827"" "
" ""http://purl.bdrc.io/resource/W1PD83964"" "," ""014257862"" "
" ""http://purl.bdrc.io/resource/W10234"" "," ""014254606"" "
" ""http://purl.bdrc.io/resource/W1KG655"" "," ""014257365"" "
" ""http://purl.bdrc.io/resource/W29901"" "," ""014260110"" "
" ""http://purl.bdrc.io/resource/W27308"" "," ""014259605"" "
" ""http://purl.bdrc.io/resource/W1PD45495"" "," ""014257814"" "
" ""http://purl.bdrc.io/resource/W1PD5282"" "," ""014257818"" "
" ""http://purl.bdrc.io/resource/W1GS66367"" "," ""014255538"" "
" ""http://purl.bdrc.io/resource/W00KG09670"" "," ""014254535"" "
" ""http://purl.bdrc.io/resource/W1KG4335"" "," ""014256921"" "
" ""http://purl.bdrc.io/resource/W1KG10493"" "," ""014255634"" "
" ""http://purl.bdrc.io/resource/W1KG870"" "," ""014257425"" "
" ""http://purl.bdrc.io/resource/W2429"" "," ""014259335"" "
" ""http://purl.bdrc.io/resource/W1GS66030"" "," ""014255521"" "
" ""http://purl.bdrc.io/resource/W22103"" "," ""014258624"" "
" ""http://purl.bdrc.io/resource/W2DB4622"" "," ""014260540"" "
" ""http://purl.bdrc.io/resource/W1CZ1413"" "," ""014255233"" "
" ""http://purl.bdrc.io/resource/W00KG01514"" "," ""014254056"" "
" ""http://purl.bdrc.io/resource/W2DB4621"" "," ""014260539"" "
" ""http://purl.bdrc.io/resource/W10979"" "," ""014254636"" "
" ""http://purl.bdrc.io/resource/W2DB4600"" "," ""014260518"" "
" ""http://purl.bdrc.io/resource/W23436"" "," ""014258912"" "
" ""http://purl.bdrc.io/resource/W23743"" "," ""014259085"" "
" ""http://purl.bdrc.io/resource/W24989"" "," ""014259377"" "
" ""http://purl.bdrc.io/resource/W21523"" "," ""014258325"" "
" ""http://purl.bdrc.io/resource/W19829"" "," ""014254903"" "
" ""http://purl.bdrc.io/resource/W2DB4567"" "," ""014260495"" "
" ""http://purl.bdrc.io/resource/W635"" "," ""014261001"" "
" ""http://purl.bdrc.io/resource/W00KG01063"" "," ""014254042"" "
" ""http://purl.bdrc.io/resource/W1KG1629"" "," ""014256355"" "
" ""http://purl.bdrc.io/resource/W21984"" "," ""014258536"" "
" ""http://purl.bdrc.io/resource/W1KG12536"" "," ""014255898"" "
" ""http://purl.bdrc.io/resource/W30453"" "," ""014260799"" "
" ""http://purl.bdrc.io/resource/W1KG9281"" "," ""014257550"" "
" ""http://purl.bdrc.io/resource/W1GS66332"" "," ""014255534"" "
" ""http://purl.bdrc.io/resource/W00KG013"" "," ""014254043"" "
" ""http://purl.bdrc.io/resource/W2DB35563"" "," ""014260486"" "
" ""http://purl.bdrc.io/resource/W21509"" "," ""014258317"" "
" ""http://purl.bdrc.io/resource/W9848"" "," ""014261145"" "
" ""http://purl.bdrc.io/resource/W2CZ7990"" "," ""014260302"" "
" ""http://purl.bdrc.io/resource/W2DB25451"" "," ""014260479"" "
" ""http://purl.bdrc.io/resource/W23790"" "," ""014259129"" "
" ""http://purl.bdrc.io/resource/W25992"" "," ""014259483"" "
" ""http://purl.bdrc.io/resource/W127"" "," ""014254675"" "
" ""http://purl.bdrc.io/resource/W00KG03940"" "," ""014254445"" "
" ""http://purl.bdrc.io/resource/W26625"" "," ""014259555"" "
" ""http://purl.bdrc.io/resource/W1KG9029"" "," ""014257483"" "
" ""http://purl.bdrc.io/resource/W00KG04068"" "," ""014254471"" "
" ""http://purl.bdrc.io/resource/W23423"" "," ""014258900"" "
" ""http://purl.bdrc.io/resource/W29654"" "," ""014260065"" "
" ""http://purl.bdrc.io/resource/W2DB16431"" "," ""014260448"" "
" ""http://purl.bdrc.io/resource/W1PD45090"" "," ""014257801"" "
" ""http://purl.bdrc.io/resource/W20205"" "," ""014258088"" "
" ""http://purl.bdrc.io/resource/W20423"" "," ""014258141"" "
" ""http://purl.bdrc.io/resource/W23163"" "," ""014258805"" "
" ""http://purl.bdrc.io/resource/W30460"" "," ""014260803"" "
" ""http://purl.bdrc.io/resource/W29985"" "," ""014260126"" "
" ""http://purl.bdrc.io/resource/W21518"" "," ""014258321"" "
" ""http://purl.bdrc.io/resource/W1KG4461"" "," ""014256942"" "
" ""http://purl.bdrc.io/resource/W21847"" "," ""014258466"" "
" ""http://purl.bdrc.io/resource/W00KG09694"" "," ""014254544"" "
" ""http://purl.bdrc.io/resource/W23454"" "," ""014258927"" "
" ""http://purl.bdrc.io/resource/W22123"" "," ""014258641"" "
" ""http://purl.bdrc.io/resource/W1CZ1878"" "," ""014255267"" "
" ""http://purl.bdrc.io/resource/W12165"" "," ""014254661"" "
" ""http://purl.bdrc.io/resource/W2DB4601"" "," ""014260519"" "
" ""http://purl.bdrc.io/resource/W24769"" "," ""014259354"" "
" ""http://purl.bdrc.io/resource/W00KG01511"" "," ""014254053"" "
" ""http://purl.bdrc.io/resource/W23762"" "," ""014259103"" "
" ""http://purl.bdrc.io/resource/W10736"" "," ""014254630"" "
" ""http://purl.bdrc.io/resource/W20146"" "," ""014258071"" "
" ""http://purl.bdrc.io/resource/W1GS66294"" "," ""014255529"" "
" ""http://purl.bdrc.io/resource/W8039"" "," ""014261062"" "
" ""http://purl.bdrc.io/resource/W21872"" "," ""014258480"" "
" ""http://purl.bdrc.io/resource/W1GS91831"" "," ""014255552"" "
" ""http://purl.bdrc.io/resource/W2MS813"" "," ""014260562"" "
" ""http://purl.bdrc.io/resource/W23923"" "," ""014259233"" "
" ""http://purl.bdrc.io/resource/W23921"" "," ""014259231"" "
" ""http://purl.bdrc.io/resource/W1PD83972"" "," ""014257864"" "
" ""http://purl.bdrc.io/resource/W23173"" "," ""014258814"" "
" ""http://purl.bdrc.io/resource/W1PD86474"" "," ""014257873"" "
" ""http://purl.bdrc.io/resource/W21613"" "," ""014258359"" "
" ""http://purl.bdrc.io/resource/W22281"" "," ""014258717"" "
" ""http://purl.bdrc.io/resource/W22920"" "," ""014258787"" "
" ""http://purl.bdrc.io/resource/W7516"" "," ""014261046"" "
" ""http://purl.bdrc.io/resource/W30388"" "," ""014260757"" "
" ""http://purl.bdrc.io/resource/W01CT0060"" "," ""014254592"" "
" ""http://purl.bdrc.io/resource/W27882"" "," ""014259721"" "
" ""http://purl.bdrc.io/resource/W11577"" "," ""014254649"" "
