object_id_num,object_huldrsadmin_ownerSuppliedName_string,object_urn_string_sort,object_huldrsadmin_adminCategory_text_sort,object_huldrsadmin_ownerCode_string_sort,object_huldrsadmin_billingCode_string,object_mets_type_string,object_huldrsadmin_role_string_sort,batch_huldrsadmin_batchDirectoryName_string,batch_id_num,batch_huldrsadmin_loadStartTime_date,batch_huldrsadmin_batchName_string,object_fileCount_num,object_huldrsadmin_adminFlagType_string_sort,object_huldrsadmin_accessFlag_string,object_mods_title_text_sort,object_huldrsadmin_producer_string_sort,object_objectSize_num
445604934,W1FPL1008-I1FPL1008,"urn-3:FHCL:37123551, urn-3:HUL.DRS.OBJECT:37123549",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW1FPL1008-1n,475849,2018-06-19T13:56:11.0Z,FHCL.COLL_batchW1FPL1008-1n_20180618_123631,247,,R,"sattaṅguttuir pāḷi-tō*--satta, dasa, ekādasaṅguttuir pāḷi-tō--ekadasaṅguttuir pāḷi-tō",Tibetan Buddhist Resource Center,78192175
445605024,W1AC301-I2PD17855,"urn-3:FHCL:37123552, urn-3:HUL.DRS.OBJECT:37123550",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW1AC301-1n,475850,2018-06-19T13:56:11.0Z,FHCL.COLL_batchW1AC301-1n_20180618_165628,306,,R,"dmangs khrod tha snyad ris 'grel srol rgyun gsal ba'i me long, དམངས་ཁྲོད་ཐ་སྙད་རིས་འགྲེལ་སྲོལ་རྒྱུན་གསལ་བའི་མེ་ལོང་།, 藏语民间常用词典, zang yu min jian chang yong ci dian",Tibetan Buddhist Resource Center,41314920
445605491,W1FPL1009-I1FPL1009,"urn-3:FHCL:37123554, urn-3:HUL.DRS.OBJECT:37123553",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW1FPL1009-1n,475851,2018-06-19T13:57:06.0Z,FHCL.COLL_batchW1FPL1009-1n_20180618_123812,211,,R,[kaccāyana?] sandhi to uṇhād--ñās pāṭh*--samās ñās--kit ñās--uṇād ñās,Tibetan Buddhist Resource Center,71559802
445605704,W1FPL1101-I1FPL1101,"urn-3:FHCL:37123556, urn-3:HUL.DRS.OBJECT:37123555",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW1FPL1101-1n,475852,2018-06-19T13:57:07.0Z,FHCL.COLL_batchW1FPL1101-1n_20180618_154432,278,,R,dhammapada aṭṭhakathā nissya-sac*,Tibetan Buddhist Resource Center,90798988
445605984,W1AC385-I2PD18237,"urn-3:FHCL:37123558, urn-3:HUL.DRS.OBJECT:37123557",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW1AC385-1n,475853,2018-06-19T13:57:09.0Z,FHCL.COLL_batchW1AC385-1n_20180618_154452,502,,R,"bcom ldan 'das dpal 'jig rten dbang phyug gi cho ga'i zin bris rab gsal thar pa'i lam chen las bdag bskyed kyi dka' ba'i gnad rnams bkrol ba don 'grel nyi ma'i 'od zer, བཅོམ་ལྡན་འདས་དཔལ་འཇིག་རྟེན་དབང་ཕྱུག་གི་ཆོ་གའི་ཟིན་བྲིས་རབ་གསལ་ཐར་པའི་ལམ་ཆེན་ལས་བདག་བསྐྱེད་ཀྱི་དཀའ་བའི་གནད་རྣམས་བཀྲོལ་བ་དོན་འགྲེལ་ཉི་མའི་འོད་ཟེར།, 噶玛强美选集, ga ma qiang mei xuan ji",Tibetan Buddhist Resource Center,44220206
445606488,W1AC386-I2PD18239,"urn-3:FHCL:37123560, urn-3:HUL.DRS.OBJECT:37123559",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW1AC386-1n,475854,2018-06-19T13:58:08.0Z,FHCL.COLL_batchW1AC386-1n_20180618_154622,274,,R,"bcom ldan 'das thugs rje chen po rgyal ba rgya mtsho lha dgu dang lha lnga'i zin bris, བཅོམ་ལྡན་འདས་ཐུགས་རྗེ་ཆེན་པོ་རྒྱལ་བ་རྒྱ་མཚོ་ལྷ་དགུ་དང་ལྷ་ལྔའི་ཟིན་བྲིས།, 噶玛强美选集, ga ma qiang mei xuan ji",Tibetan Buddhist Resource Center,25004547
445606764,W1FPL1102-I1FPL1102,"urn-3:FHCL:37123562, urn-3:HUL.DRS.OBJECT:37123561",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW1FPL1102-1n,475855,2018-06-19T13:59:12.0Z,FHCL.COLL_batchW1FPL1102-1n_20180618_154618,254,,R,dhammasaṅgaṇī mūla ṭīkā pāṭh--dhātukathā mūla ṭīkā pāṭh--mūla ṭīkā puggalapaññat--mūla ṭīkā kathāvatthu--yamuik mūla ṭīkā pāṭh--paṭhān mūla ṭīkā pāṭh,Tibetan Buddhist Resource Center,95593889
445607004,W1FPL1010-I1FPL1010,"urn-3:FHCL:37123564, urn-3:HUL.DRS.OBJECT:37123563",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW1FPL1010-1n,475856,2018-06-19T13:59:13.0Z,FHCL.COLL_batchW1FPL1010-1n_20180618_124055,333,,R,dhammapada aṭhakathā nissya,Tibetan Buddhist Resource Center,122274149
445607355,W1FPL1103-I1FPL1103,"urn-3:FHCL:37123566, urn-3:HUL.DRS.OBJECT:37123565",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW1FPL1103-1n,475857,2018-06-19T14:00:05.0Z,FHCL.COLL_batchW1FPL1103-1n_20180618_154807,260,,R,pāramī ’aphre*--cūḷavā pāḷi-tō nissya,Tibetan Buddhist Resource Center,89488885
445607617,W1FPL1104-I1FPL1104,"urn-3:FHCL:37123568, urn-3:HUL.DRS.OBJECT:37123567",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW1FPL1104-1n,475858,2018-06-19T14:01:09.0Z,FHCL.COLL_batchW1FPL1104-1n_20180618_154921,156,,R,mahāvaṅ kyam--liṅ-cac--saddā kyam: mvè pāṭh--vitak pāṭh--vitak ṭīkā--vitak nisya,Tibetan Buddhist Resource Center,51110032
445607775,W1AC387-I2PD18241,"urn-3:FHCL:37123572, urn-3:HUL.DRS.OBJECT:37123571",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW1AC387-1n,475860,2018-06-19T14:01:14.0Z,FHCL.COLL_batchW1AC387-1n_20180618_154901,528,,R,"ri chos mtshams kyi zhal gdams, རི་ཆོས་མཚམས་ཀྱི་ཞལ་གདམས།, 噶玛强美选集, ga ma qiang mei xuan ji",Tibetan Buddhist Resource Center,45180999
445608305,W1FPL1011-I1FPL1011,"urn-3:FHCL:37123570, urn-3:HUL.DRS.OBJECT:37123569",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW1FPL1011-1n,475859,2018-06-19T14:01:13.0Z,FHCL.COLL_batchW1FPL1011-1n_20180618_124338,383,,R,sagthāvaggasaṃyut aṭṭhakathā pāṭh--nidānavaggasaṃyut aṭhakathā--khandhavaggasaṃyut aṭhakathā pāṭh--saḷāyatanasaṃyut aṭṭhakathā pāṭḥ--mahāvaggasaṃyut aṭṭhakathā,Tibetan Buddhist Resource Center,136028040
445608690,W1FPL1105-I1FPL1105,"urn-3:FHCL:37123574, urn-3:HUL.DRS.OBJECT:37123573",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW1FPL1105-1n,475861,2018-06-19T14:02:05.0Z,FHCL.COLL_batchW1FPL1105-1n_20180618_155042,182,,R,paṭhān pāḷi-tō nissya--dhātukathā nissya,Tibetan Buddhist Resource Center,69316519
