WorkName,HOLLIS
W1FPL222,15333406
W1FPL223,15339461
W1FPL224,15336978
W1FPL225,15337405
W1FPL226,15334340
W1FPL227,15335543
W1FPL228,15331064
W1FPL229,15338763
W1FPL23,15330659
W1FPL230,15330403
W1FPL231,15329682
W1FPL232,15337812
W1FPL233,15337785
W1FPL234,15339269
W1FPL235,15335740
W1FPL237,15339010
W1FPL2371,15336660
W1FPL2372,15339869
W1FPL238,15335304
W1FPL239,15331190
W1FPL24,15337509
W1FPL240,15331129
W1FPL241,15340101
W1FPL2414,15333832
W1FPL242,15336068
W1FPL2422,15339679
W1FPL243,15335920
W1FPL244,15333765
W1FPL245,15336612
W1FPL2456,15340139
W1FPL246,15333124
W1FPL2466,15338735
W1FPL247,15338145
W1FPL248,15338778
W1FPL25,15329706
W1FPL250,15338382
W1FPL251,15329869
W1FPL252,15336715
W1FPL253,15337992
W1FPL254,15334172
W1FPL255,15339975
W1FPL256,15329588
W1FPL257,15337055
W1FPL2575,15330798
W1FPL258,15336371
W1FPL259,15332810
W1FPL26,15329687
W1FPL260,15329502
W1FPL261,15339145
W1FPL262,15335601
W1FPL2622,15339949
W1FPL263,15332065
W1FPL2630,15336586
W1FPL264,15336993
W1FPL265,15334484
W1FPL266,15330392
W1FPL267,15338064
W1FPL268,15332727
W1FPL2684,15335208
W1FPL2688,15333882
W1FPL269,15334854
W1FPL2699,15333110
W1FPL27,15332825
W1FPL270,15332422
W1FPL271,15340047
W1FPL272,15334518
W1FPL273,15331127
W1FPL2738,15334525
W1FPL274,15338614
W1FPL275,15339615
W1FPL276,15336437
W1FPL277,15333971
W1FPL278,15336683
W1FPL279,15337231
W1FPL28,15333593
W1FPL280,15338496
W1FPL281,15336592
W1FPL2815,15336956
W1FPL282,15334249
W1FPL283,15337419
W1FPL284,15331077
W1FPL285,15336500
W1FPL286,15339816
W1FPL287,15332091
W1FPL288,15330006
W1FPL2885,15329599
W1FPL289,15336442
W1FPL29,15335243
W1FPL290,15339892
W1FPL291,15334140
W1FPL292,15335558
W1FPL293,15336796
W1FPL294,15340261
W1FPL295,15332293
W1FPL296,15337396
W1FPL2967,15330213
W1FPL297,15329768
W1FPL298,15336302
W1FPL299,15331515
W1FPL3,15339405
W1FPL30,15339343
W1FPL300,15332054
W1FPL301,15332123
W1FPL3011,15336557
W1FPL302,15338700
W1FPL303,15333550
W1FPL304,15335844
W1FPL305,15338568
W1FPL306,15336732
W1FPL307,15330073
W1FPL3075,15334687
W1FPL308,15340217
W1FPL309,15334123
W1FPL31,15333166
W1FPL310,15334194
W1FPL311,15331080
W1FPL3112,15335738
W1FPL312,15334714
W1FPL313,15334451
W1FPL315,15331037
W1FPL3150,15334985
W1FPL316,15335404
W1FPL317,15330436
W1FPL318,15334127
W1FPL319,15329930
W1FPL320,15339570
W1FPL321,15331177
W1FPL322,15334304
W1FPL323,15330671
W1FPL324,15332872
W1FPL325,15337853
W1FPL326,15330638
W1FPL327,15331033
W1FPL3274,15330619
W1FPL328,15329705
W1FPL329,15332018
W1FPL33,15332735
W1FPL330,15335710
W1FPL331,15329690
W1FPL332,15339978
W1FPL333,15336758
W1FPL334,15334908
W1FPL337,15331800
W1FPL338,15332892
