object_id_num,object_huldrsadmin_ownerSuppliedName_string,object_urn_string_sort,object_huldrsadmin_adminCategory_text_sort,object_huldrsadmin_ownerCode_string_sort,object_huldrsadmin_billingCode_string,object_mets_type_string,object_huldrsadmin_insertionDate_date,object_huldrsadmin_role_string_sort,object_mets_createDate_date,object_fileCount_num,object_huldrsadmin_adminFlagType_string_sort,object_huldrsadmin_accessFlag_string,object_mods_title_text_sort,object_huldrsadmin_producer_string_sort,object_objectSize_num
440244591,W1KG5372-I1KG5386,"urn-3:FHCL:35902753, urn-3:HUL.DRS.OBJECT:35902752",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-04-17T12:10:24.887Z,,2018-04-05T07:21:45.470Z,428,,R,"skyabs mchog rdo rje 'chang rje btsun ngag dbang dpal bzang mchog gi gsung 'bum, སྐྱབས་མཆོག་རྡོ་རྗེ་འཆང་རྗེ་བཙུན་ངག་དབང་དཔལ་བཟང་མཆོག་གི་གསུང་འབུམ་, the collected works of skyabs-mchog rdo-rje 'chang 'brug-pa rin-po che rje-btsun ngag-dbang dpal-bzang (shes-rab rdo rje), Skyabs mchog rdo rje ʾchaṅ Rje-btsun Ṅag-dbaṅ-dpal-bzaṅ mchog gi gsuṅ ʾbum =The collected works of skyabs mchog rdo rje ʾchaṅ ʾBrug-pa Rin-po-che Rje-btsun Ṅag-dbaṅ-dpal-bzaṅ",Tibetan Buddhist Resource Center,134783078
440245021,W1KG5372-I1KG5387,"urn-3:FHCL:35902759, urn-3:HUL.DRS.OBJECT:35902758",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-04-17T12:10:47.197Z,,2018-04-05T07:22:47.931Z,372,,R,"skyabs mchog rdo rje 'chang rje btsun ngag dbang dpal bzang mchog gi gsung 'bum, སྐྱབས་མཆོག་རྡོ་རྗེ་འཆང་རྗེ་བཙུན་ངག་དབང་དཔལ་བཟང་མཆོག་གི་གསུང་འབུམ་, the collected works of skyabs-mchog rdo-rje 'chang 'brug-pa rin-po che rje-btsun ngag-dbang dpal-bzang (shes-rab rdo rje), Skyabs mchog rdo rje ʾchaṅ Rje-btsun Ṅag-dbaṅ-dpal-bzaṅ mchog gi gsuṅ ʾbum =The collected works of skyabs mchog rdo rje ʾchaṅ ʾBrug-pa Rin-po-che Rje-btsun Ṅag-dbaṅ-dpal-bzaṅ",Tibetan Buddhist Resource Center,131803932
440246467,W1KG5396-I1KG5411,"urn-3:FHCL:35902757, urn-3:HUL.DRS.OBJECT:35902756",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-04-17T12:10:39.663Z,,2018-04-05T07:35:18.619Z,334,,R,"gzhon nu zla med kyi gtam rgyud, གཞོན་ནུ་ཟླ་མེད་ཀྱི་གཏམ་རྒྱུད་, xun nu da mei de gu shi",Tibetan Buddhist Resource Center,35220433
440246803,W1KG5397-I1KG5413,"urn-3:FHCL:35902761, urn-3:HUL.DRS.OBJECT:35902760",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-04-17T12:10:52.711Z,,2018-04-05T07:37:09.18Z,276,,R,"bya mgrin sngon zla ba'i rtogs brjod, བྱ་མགྲིན་སྔོན་ཟླ་བའི་རྟོགས་བརྗོད་, qing xiang niao de gu shi",Tibetan Buddhist Resource Center,24763288
440247081,W1KG5398-I1KG5415,"urn-3:FHCL:35902765, urn-3:HUL.DRS.OBJECT:35902764",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-04-17T12:11:00.277Z,,2018-04-05T07:38:34.727Z,134,,R,"rig byed gtam rgyud bdams bsgrigs, རིག་བྱེད་གཏམ་རྒྱུད་བདམས་བསྒྲིགས་, fei tuo gu shi ji, Rig byed gtam rgyud bdams bsgrigs /Bstan-ʾdzin gyis bsgrigs",Tibetan Buddhist Resource Center,22169356
440247217,W1KG5400-I1KG5417,"urn-3:FHCL:35902767, urn-3:HUL.DRS.OBJECT:35902766",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-04-17T12:11:09.353Z,,2018-04-05T07:39:30.101Z,58,,R,"rgya bza' bal bza'i rnam thar/ (bod ljongs mi dmangs dpe skrun khang /), རྒྱ་བཟའ་བལ་བཟའི་རྣམ་ཐར། ༼བོད་ལྗོངས་མི་དམངས་དཔེ་སྐྲུན་ཁང་།༽, jia sa pa sa",Tibetan Buddhist Resource Center,19762634
440247277,W1KG862-I1KG902,"urn-3:FHCL:35903122, urn-3:HUL.DRS.OBJECT:35903121",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-04-17T12:12:12.231Z,,2018-04-04T23:41:05.988Z,218,,R,"bod ljongs kyi sgyu rtsal, བོད་ལྗོངས་ཀྱི་སྒྱུ་རྩལ།, 西藏艺术, xi zang yi shu, Bod ljoṅs kyi sgyu rtsal /Źuṅ-wun-pin gyis brtsoms ; Dros-dmar-tshe-riṅ-rdo-rje gyis bsgyur",Tibetan Buddhist Resource Center,3810014546
440248319,W1KG545-I1KG548,"urn-3:FHCL:35902773, urn-3:HUL.DRS.OBJECT:35902772",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-04-17T12:11:27.562Z,,2018-04-05T08:15:00.86Z,86,,R,"snyan deb thor rtsom phyogs bsgrigs rnam rtog gi rba rlabs, སྙན་དེབ་ཐོར་རྩོམ་ཕྱོགས་བསྒྲིགས་རྣམ་རྟོག་གི་རྦ་རླབས་, rnam rtog gi rba rlabs",Tibetan Buddhist Resource Center,4612559
440248407,W1KG5450-I1KG5456,"urn-3:FHCL:35902863, urn-3:HUL.DRS.OBJECT:35902862",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-04-17T12:11:53.219Z,,2018-04-05T08:16:02.438Z,406,,R,"'gyur rtsom dbyangs can dgyes pa'i glu dbyangs, འགྱུར་རྩོམ་དབྱངས་ཅན་དགྱེས་པའི་གླུ་དབྱངས་, sang jie yi shi xuan ji",Tibetan Buddhist Resource Center,53334349
440248815,W1KG5451-I1KG5458,"urn-3:FHCL:35902904, urn-3:HUL.DRS.OBJECT:35902902",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-04-17T12:12:00.457Z,,2018-04-05T08:17:57.910Z,430,,R,"dam chos yid bzhin nor bu thar pa rin po che'i rgyan, དམ་ཆོས་ཡིད་བཞིན་ནོར་བུ་ཐར་པ་རིན་པོ་ཆེའི་རྒྱན, dam chos yid bzhin nor bu thar pa rin po che'i rgyan ces bya ba chos rje sgam po pas mdzad pa, the jewel ornament of liberation by gam-po-pa, dwags po thar rgyan",Tibetan Buddhist Resource Center,60724861
440249247,W1KG5452-I1KG5460,"urn-3:FHCL:35902867, urn-3:HUL.DRS.OBJECT:35902866",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-04-17T12:11:59.211Z,,2018-04-05T08:19:52.539Z,316,,R,"tshad ma'i mdo sde bdun dang bcas pa'i spyi don rigs pa'i snying po dang / tshad ma mdo dang sde bdun gyi don gtan la phab pa'i bstan bcos rje btsun 'jam pa'i dbyangs kyi dgongs rgyan, ཚད་མའི་མདོ་སྡེ་བདུན་དང་བཅས་པའི་སྤྱི་དོན་རིགས་པའི་སྙིང་པོ་དང་། ཚད་མ་མདོ་དང་སྡེ་བདུན་གྱི་དོན་གཏན་ལ་ཕབ་པའི་བསྟན་བཅོས་རྗེ་བཙུན་འཇམ་པའི་དབྱངས་ཀྱི་དགོངས་རྒྱན།",Tibetan Buddhist Resource Center,33047296
440249565,W1KG5461-I1KG5464,"urn-3:FHCL:35903191, urn-3:HUL.DRS.OBJECT:35903190",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-04-17T12:12:45.548Z,,2018-04-05T08:21:51.593Z,694,,R,"'jigs med nyams myong dmar khrid, འཇིགས་མེད་ཉམས་མྱོང་དམར་ཁྲིད་, jiu mei wen ji",Tibetan Buddhist Resource Center,107896572
440250261,W1KG5465-I1KG5471,"urn-3:FHCL:35903189, urn-3:HUL.DRS.OBJECT:35903188",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-04-17T12:12:40.682Z,,2018-04-05T08:24:28.616Z,524,,R,"spyod 'jug gi rtsa ba dang de'i 'grel pa rnam bshad rgyal sras 'jug ngogs gnyis kyi shan sbyar, སྤྱོད་འཇུག་གི་རྩ་བ་དང་དེའི་འགྲེལ་པ་རྣམ་བཤད་རྒྱལ་སྲས་འཇུག་ངོགས་གཉིས་ཀྱི་ཤན་སྦྱར་, spyod 'jug dar Tik shan sbyar, ru xing lun ben song yu zhu jie",Tibetan Buddhist Resource Center,124257051
